Engine name;Human-readable name;Game modes,,,,,,,,,
XP0_Caspian;Caspian Border 2014;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheflag0,
XP0_Firestorm;Firestorm 2014;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheflag0,
XP0_Metro;Operation Metro 2014;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheflag0,
XP0_Oman;Gulf of Oman 2014;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheflag0,
XP2_001;Lost Islands;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CarrierAssaultLarge/Small0,
XP2_002;Nansha Strike;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CarrierAssaultLarge/Small0,
XP2_003;Wave Breaker;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CarrierAssaultLarge/Small0,
XP2_004;Operation Mortar;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CarrierAssaultLarge/Small0,
XP3_MarketPl;Pearl Market;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,Chainlink0,CaptureTheFlag0
XP3_Prpganda;Propaganda;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,Chainlink0,CaptureTheFlag0
XP3_UrbanGdn;Lumpini Garden;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,Chainlink0,CaptureTheFlag0
XP3_WtrFront;Sunken Dragon;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,Chainlink0,CaptureTheFlag0
XP4_Arctic;Operation Whiteout;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheFlag0,
XP4_SubBase;Hammerhead;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheFlag0,
XP4_Titan;Hangar 21;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheFlag0,
XP4_WalkerFactory;Giants of Karelia;ConquestLarge0,ConquestSmall0,Domination0,Elimination0,Obliteration,RushLarge0,SquadDeathMatch0,TeamDeathMatch0,CaptureTheFlag0,
XP5_Night_01;Zavod:Graveyard Shift;ConquestLarge0,ConquestSmall0,Domination0,Obliteration,RushLarge0,TeamDeathMatch0,GunMaster0,GunMaster1,,
XP7_Valley;Dragon Valley 2015;ConquestLarge0,ConquestSmall0,Domination0,Obliteration,RushLarge0,TeamDeathMatch0,SquadDeathMatch0,GunMaster0,AirSuperiority0,
